n,app,alg,score_type,avg_cume_score
1,mTM,CE,RMSD,0.00000000000000000000
2,mTM,CE,RMSD,0.16069807403856344598
3,mTM,CE,RMSD,0.25432415413631775258
4,mTM,CE,RMSD,0.313430557261201705856084931139
5,mTM,CE,RMSD,0.369057823444615344812701278244
6,mTM,CE,RMSD,0.413912145077000651088325139278
7,mTM,CE,RMSD,0.454676108390828790129155674936
8,mTM,CE,RMSD,0.490294921419580111712750798903
9,mTM,CE,RMSD,0.517694590427856973139735278037
10,mTM,CE,RMSD,0.545555952794931566154072861344
11,mTM,CE,RMSD,0.571418762965009651206725328495
12,mTM,CE,RMSD,0.593087831017663615929454236305
13,mTM,CE,RMSD,0.616621243393456794676626560008
14,mTM,CE,RMSD,0.637789954897592291150421091436
15,mTM,CE,RMSD,0.656455618157267834905409685341
16,mTM,CE,RMSD,0.674870456551414587049847621674
17,mTM,CE,RMSD,0.691421700652421613441706258307
18,mTM,CE,RMSD,0.707102782165102257935870725438
19,mTM,CE,RMSD,0.724116544016417081883190394860
20,mTM,CE,RMSD,0.740355003405742093393689208450
21,mTM,CE,RMSD,0.755330397039973592804272791116
22,mTM,CE,RMSD,0.770960375673702421968669482429
23,mTM,CE,RMSD,0.785810612811645494275926606382
24,mTM,CE,RMSD,0.800676634319222088857046562597
25,mTM,CE,RMSD,0.815409680307902023803923588982
26,mTM,CE,RMSD,0.829698523939779064096976741543
27,mTM,CE,RMSD,0.843483062070320678508675133831
28,mTM,CE,RMSD,0.857729389244438494882869275877
29,mTM,CE,RMSD,0.871157989372535211010863247207
30,mTM,CE,RMSD,0.884091760242808662497440953781
31,mTM,CE,RMSD,0.897068174372980074831026191831
32,mTM,CE,RMSD,0.910386004271530935702257144170
33,mTM,CE,RMSD,0.923895679673406940871331843505
34,mTM,CE,RMSD,0.936348209793252059931493652029
35,mTM,CE,RMSD,0.948419996691029507551937484194
36,mTM,CE,RMSD,0.960595576116296023011839683707
37,mTM,CE,RMSD,0.973389657577166615261852274838
38,mTM,CE,RMSD,0.986081128955069444003681454740
39,mTM,CE,RMSD,0.998077707745083533751190334818
40,mTM,CE,RMSD,1.009588162564747723048177937558
41,mTM,CE,RMSD,1.021431165041099734816796226344
42,mTM,CE,RMSD,1.032962071057285650561333485505
43,mTM,CE,RMSD,1.043779353804223975033516298504
44,mTM,CE,RMSD,1.054250660927412461954535498790
45,mTM,CE,RMSD,1.064467207677177041815108784002
46,mTM,CE,RMSD,1.074890349997190623116271878070
47,mTM,CE,RMSD,1.085157126303547118886254864116
48,mTM,CE,RMSD,1.095428268779104985235051059076
49,mTM,CE,RMSD,1.105511530616983320197211014787
50,mTM,CE,RMSD,1.115169061120303732700975683380
51,mTM,CE,RMSD,1.124352260469173358509736508760
52,mTM,CE,RMSD,1.133256372438489312256215934874
53,mTM,CE,RMSD,1.142047634746211508686658401512
54,mTM,CE,RMSD,1.150894555130195851240801558685
55,mTM,CE,RMSD,1.159935887005257559834275873780
56,mTM,CE,RMSD,1.168942057071330038244650907780
57,mTM,CE,RMSD,1.177524737079151323054835394778
58,mTM,CE,RMSD,1.185832419503891878595856432033
59,mTM,CE,RMSD,1.194306727251024983284626756160
60,mTM,CE,RMSD,1.202757011361450546197581588002
61,mTM,CE,RMSD,1.211302283617318208561808847944
62,mTM,CE,RMSD,1.219631554729857153947029672977
63,mTM,CE,RMSD,1.227507746093482192162251865116
64,mTM,CE,RMSD,1.235452901313954796578906349863
65,mTM,CE,RMSD,1.243220468037694876174682149609
66,mTM,CE,RMSD,1.250972792978963251369623834210
67,mTM,CE,RMSD,1.258533729776783006875358718940
68,mTM,CE,RMSD,1.265804613116604188824973950198
69,mTM,CE,RMSD,1.273359984324810415224439706153
70,mTM,CE,RMSD,1.280683487603034594693407234160
71,mTM,CE,RMSD,1.287640628474255357613636240252
72,mTM,CE,RMSD,1.294412745697529345404108113458
73,mTM,CE,RMSD,1.301762651066871451098163329560
