n,app,alg,score_type,avg_cume_score
1,mTM,FATCAT,RMSD,0.00000000000000000000
2,mTM,FATCAT,RMSD,0.15942907365804693424
3,mTM,FATCAT,RMSD,0.25618427487525387566
4,mTM,FATCAT,RMSD,0.315869928030190727663644174495
5,mTM,FATCAT,RMSD,0.372676513156869982482737561819
6,mTM,FATCAT,RMSD,0.417787431339951295835660931145
7,mTM,FATCAT,RMSD,0.458053246427865181794003020347
8,mTM,FATCAT,RMSD,0.493913627038108959478349865025
9,mTM,FATCAT,RMSD,0.523113667543717715298517781257
10,mTM,FATCAT,RMSD,0.552327167809248025793063225354
11,mTM,FATCAT,RMSD,0.577848543971094635564655962443
12,mTM,FATCAT,RMSD,0.600588711411237250726862872980
13,mTM,FATCAT,RMSD,0.625194719764857651285758036597
14,mTM,FATCAT,RMSD,0.646566762078004132173703891126
15,mTM,FATCAT,RMSD,0.667843242517940513989523631717
16,mTM,FATCAT,RMSD,0.686994439102381553770786043624
17,mTM,FATCAT,RMSD,0.705555031998054683247548629293
18,mTM,FATCAT,RMSD,0.722891390954087006899214137542
19,mTM,FATCAT,RMSD,0.741479293588618921562411931473
20,mTM,FATCAT,RMSD,0.758323394460236063318739946010
21,mTM,FATCAT,RMSD,0.774829500751213432453489102020
22,mTM,FATCAT,RMSD,0.791168998093043020122235809504
23,mTM,FATCAT,RMSD,0.808262726637393365780097537593
24,mTM,FATCAT,RMSD,0.824658926565955163302042547601
25,mTM,FATCAT,RMSD,0.839994541211006411400297512364
26,mTM,FATCAT,RMSD,0.855006140417454961115402522572
27,mTM,FATCAT,RMSD,0.870419841242234315093628355069
28,mTM,FATCAT,RMSD,0.885843428422610607619905516991
29,mTM,FATCAT,RMSD,0.899945419334466782885275633264
30,mTM,FATCAT,RMSD,0.913861708882055749299011815859
31,mTM,FATCAT,RMSD,0.927207866484608300582499785956
32,mTM,FATCAT,RMSD,0.940681855199980345820323577367
33,mTM,FATCAT,RMSD,0.954029685227550008034931617111
34,mTM,FATCAT,RMSD,0.966656419975621788849183628372
35,mTM,FATCAT,RMSD,0.978804094418487818004752191371
36,mTM,FATCAT,RMSD,0.991172720459339187599812315685
37,mTM,FATCAT,RMSD,1.003358317502070027493213784630
38,mTM,FATCAT,RMSD,1.015678100673979890346309035912
39,mTM,FATCAT,RMSD,1.027740597121245520749781168894
40,mTM,FATCAT,RMSD,1.039441418400453338538842195227
41,mTM,FATCAT,RMSD,1.050645034151810892350377886943
42,mTM,FATCAT,RMSD,1.061923189399945838231751826142
43,mTM,FATCAT,RMSD,1.072872217190762579543674264294
44,mTM,FATCAT,RMSD,1.083856589348955783136472702732
45,mTM,FATCAT,RMSD,1.094369399552924486461964667363
46,mTM,FATCAT,RMSD,1.105089248147188994112636933048
47,mTM,FATCAT,RMSD,1.116075245315843725237813688610
48,mTM,FATCAT,RMSD,1.126522427411304999802002755282
49,mTM,FATCAT,RMSD,1.137400078133805510067923900866
50,mTM,FATCAT,RMSD,1.147441760526481545447273756182
51,mTM,FATCAT,RMSD,1.157575050582165883238179608457
52,mTM,FATCAT,RMSD,1.167490109965651527654474765559
53,mTM,FATCAT,RMSD,1.176901583759872455482714235392
54,mTM,FATCAT,RMSD,1.186221443746116690826422202226
55,mTM,FATCAT,RMSD,1.195568605841265767186622606630
