n,app,level_precision
1,CATHEDRAL,0.97979797979798
2,CATHEDRAL,0.94949494949495
3,CATHEDRAL,0.885521885521885
4,CATHEDRAL,0.797979797979798
5,CATHEDRAL,0.731313131313131
6,CATHEDRAL,0.668350168350168
7,CATHEDRAL,0.639249639249639
8,CATHEDRAL,0.606060606060606
9,CATHEDRAL,0.579124579124579
10,CATHEDRAL,0.552525252525253
11,CATHEDRAL,0.533516988062443
12,CATHEDRAL,0.518518518518518
13,CATHEDRAL,0.503496503496504
14,CATHEDRAL,0.490620490620491
15,CATHEDRAL,0.483501683501683
16,CATHEDRAL,0.473484848484849
17,CATHEDRAL,0.467023172905526
18,CATHEDRAL,0.459034792368126
19,CATHEDRAL,0.449760765550239
20,CATHEDRAL,0.443434343434343
21,CATHEDRAL,0.44011544011544
22,CATHEDRAL,0.434802571166208
23,CATHEDRAL,0.429512516469038
24,CATHEDRAL,0.422558922558923
25,CATHEDRAL,0.418585858585859
26,CATHEDRAL,0.413364413364413
27,CATHEDRAL,0.40778151889263
28,CATHEDRAL,0.402958152958153
29,CATHEDRAL,0.399860675722745
30,CATHEDRAL,0.396296296296296
31,CATHEDRAL,0.392310198761812
32,CATHEDRAL,0.387626262626263
33,CATHEDRAL,0.384450566268748
34,CATHEDRAL,0.38116458704694
35,CATHEDRAL,0.378354978354978
36,CATHEDRAL,0.375982042648709
37,CATHEDRAL,0.374829374829375
38,CATHEDRAL,0.371876661350346
39,CATHEDRAL,0.36959336959337
40,CATHEDRAL,0.366919191919192
41,CATHEDRAL,0.364621828036462
42,CATHEDRAL,0.363155363155363
43,CATHEDRAL,0.36128729151985
44,CATHEDRAL,0.359274563820018
45,CATHEDRAL,0.35712682379349
46,CATHEDRAL,0.354633289415898
47,CATHEDRAL,0.352460777992693
48,CATHEDRAL,0.351010101010101
49,CATHEDRAL,0.350030921459493
50,CATHEDRAL,0.34989898989899
51,CATHEDRAL,0.348781937017231
52,CATHEDRAL,0.347707847707848
53,CATHEDRAL,0.34610253478178
54,CATHEDRAL,0.343995510662177
55,CATHEDRAL,0.342148760330579
56,CATHEDRAL,0.341450216450216
57,CATHEDRAL,0.340244550770867
58,CATHEDRAL,0.338732149076977
59,CATHEDRAL,0.336928608115049
60,CATHEDRAL,0.335185185185185
61,CATHEDRAL,0.333664513992383
62,CATHEDRAL,0.332029977191268
63,CATHEDRAL,0.330607663940997
64,CATHEDRAL,0.329703282828283
65,CATHEDRAL,0.328826728826729
66,CATHEDRAL,0.327670645852464
67,CATHEDRAL,0.326398311472938
68,CATHEDRAL,0.325460487225193
69,CATHEDRAL,0.324110671936759
70,CATHEDRAL,0.323809523809524
71,CATHEDRAL,0.322236448997012
72,CATHEDRAL,0.321408529741863
73,CATHEDRAL,0.320326553203266
74,CATHEDRAL,0.31968331968332
75,CATHEDRAL,0.318653198653199
76,CATHEDRAL,0.317650186071239
77,CATHEDRAL,0.316673225764135
78,CATHEDRAL,0.315721315721316
79,CATHEDRAL,0.315049226441632
80,CATHEDRAL,0.314015151515152
81,CATHEDRAL,0.313131313131313
82,CATHEDRAL,0.312022665681202
83,CATHEDRAL,0.311305829378119
84,CATHEDRAL,0.310606060606061
85,CATHEDRAL,0.309922756981581
86,CATHEDRAL,0.308433168898285
87,CATHEDRAL,0.307210031347962
88,CATHEDRAL,0.306359044995409
89,CATHEDRAL,0.306094654409261
90,CATHEDRAL,0.305387205387205
91,CATHEDRAL,0.304029304029304
92,CATHEDRAL,0.303140096618358
93,CATHEDRAL,0.30237862495927
94,CATHEDRAL,0.301848269933376
